term,soc,version,aliases,g1,g2,g3,g4,g5,definition,note,page
Anemia,Blood and lymphatic system disorders,CTCAE v6.0,,Hemoglobin (Hgb) <LLN - 10.0 g/dL; <LLN - 6.2 mmol/L; <LLN - 100 g/L,Hgb <10.0 - 8.0 g/dL; <6.2 - 4.9 mmol/L; <100 - 80 g/L,Hgb <8.0 g/dL; <4.9 mmol/L; <80 g/L; transfusion indicated,Life-threatening consequences; urgent intervention indicated,Death,"A disorder characterized by a reduction in the amount of hemoglobin in 100 ml of blood. Signs and symptoms of anemia may include pallor of the skin and mucous membranes, shortness of breath, palpitations of the heart, soft systolic murmurs, lethargy, and fatigability.",-,4
Aplastic anemia,Blood and lymphatic system disorders,CTCAE v6.0,,-,Use of growth factor indicated; transfusion indicated,Severe or medically significant but not immediately life-threatening; hospitalization or prolongation of existing hospitalization indicated,Life-threatening consequences; urgent intervention indicated,Death,A disorder characterized by the inability of the bone marrow to make enough new blood cells.,Do not report individual cell count decreases in addition to this term.,4
"Blood and lymphatic system disorders - Other, specify",Blood and lymphatic system disorders,CTCAE v6.0,,Asymptomatic or mild symptoms; clinical or diagnostic observations only; intervention not indicated,"Moderate; minimal, local or noninvasive intervention indicated; limiting instrumental ADL or mild/moderate impact on age-appropriate normal daily activity (pediatric)",Severe or medically significant but not immediately life-threatening; hospitalization or prolongation of existing hospitalization indicated; limiting self-care ADL or severe impact on age-appropriate normal daily activity (pediatric),Life-threatening consequences; urgent intervention indicated,Death,-,-,5
Bone marrow hypocellular,Blood and lymphatic system disorders,CTCAE v6.0,,Mildly hypocellular or ≤25% reduction from normal cellularity for age,Moderately hypocellular or >25 - <50% reduction from normal cellularity for age,Severely hypocellular or >50 - ≤75% reduction cellularity from normal for age,Aplastic persistent for longer than 2 weeks,Death,A disorder characterized by the inability of the bone marrow to produce hematopoietic elements.,"Consider Blood and lymphatic system disorders: Anemia, Thrombocytopenia, and/or Investigations: Neutrophil count decreased if bone marrow hypocellularity is not seen.",5
Disseminated intravascular coagulation,Blood and lymphatic system disorders,CTCAE v6.0,,-,Laboratory findings with no bleeding,Laboratory findings and bleeding,Life-threatening consequences; urgent intervention indicated,Death,A disorder characterized by systemic pathological activation of blood clotting mechanisms which results in clot formation throughout the body. There is an increase in the risk of hemorrhage as the body is depleted of platelets and coagulation factors.,-,5
Eosinophilia,Blood and lymphatic system disorders,CTCAE v6.0,,>ULN and >Baseline,-,Steroids initiated,-,-,A disorder characterized by laboratory test results that indicate an increased number of eosinophils in the blood.,-,6
Febrile neutropenia,Blood and lymphatic system disorders,CTCAE v6.0,,-,-,ANC <1000/mm3 with a single temperature of >38.3 degrees C (101 degrees F) or a sustained temperature of ≥38 degrees C (100.4 degrees F) for more than one hour,Life-threatening consequences; urgent intervention indicated,Death,A disorder characterized by an ANC <1000/mm3 and a single temperature of >38.3 degrees C (101 degrees F) or a sustained temperature of ≥38 degrees C (100.4 degrees F) for more than one hour.,-,6
Hemolysis,Blood and lymphatic system disorders,CTCAE v6.0,,"Laboratory evidence of hemolysis only (e.g., direct antiglobulin test; DAT; Coombs'; schistocytes; decreased haptoglobin)",Evidence of hemolysis and ≥2 g decrease in hemoglobin,"Transfusion or medical intervention indicated (e.g., steroids)",Life-threatening consequences; urgent intervention indicated,Death,A disorder characterized by laboratory test results that indicate widespread erythrocyte cell membrane destruction.,-,6
Hemolytic anemia,Blood and lymphatic system disorders,CTCAE v6.0,,<10% drop in Hgb from last assessment; intervention not indicated,≤2 units of PRBCs transfused per day,>2 units of PRBCs per day indicated,Life-threatening consequences; urgent intervention indicated,Death,Anemia resulting from hemolysis.,-,7
Hemolytic uremic syndrome,Blood and lymphatic system disorders,CTCAE v6.0,,-,-,"Laboratory findings with clinical consequences (e.g., renal insufficiency, petechiae)","Life-threatening consequences, (e.g., CNS hemorrhage or thrombosis/embolism or renal failure)",Death,"A disorder characterized by a form of thrombotic microangiopathy with renal failure, hemolytic anemia, and severe thrombocytopenia when the etiology is due to infections with shiga-toxin producing bacteria, such as E coli O157:H7.",-,7
Leukocytosis,Blood and lymphatic system disorders,CTCAE v6.0,,-,-,">100,000/mm3",Clinical manifestations of leucostasis; urgent intervention indicated,Death,A disorder characterized by laboratory test results that indicate an increased number of white blood cells in the blood.,"Do not use for increases due to growth factors, steroids, or leukemias.",7
Lymph node pain,Blood and lymphatic system disorders,CTCAE v6.0,,Mild pain,Moderate pain; limiting instrumental ADL or mild/moderate impact on age-appropriate normal daily activity (pediatric),Severe pain; limiting self-care ADL or severe impact on age-appropriate normal daily activity (pediatric),-,-,A disorder characterized by a sensation of marked discomfort in a lymph node.,Record final diagnosis/cause once determined.,8
Lymphopenia,Blood and lymphatic system disorders,CTCAE v6.0,,Present,-,-,-,-,A finding based on laboratory test results that indicate a decrease in number of lymphocytes in a blood specimen.,-,8
Methemoglobinemia,Blood and lymphatic system disorders,CTCAE v6.0,,-,>ULN,Requiring urgent intervention Life-threatening,consequences,Death,A disorder characterized by laboratory test results that indicate increased methemoglobin in the blood.,-,8
Thrombocytopenia,Blood and lymphatic system disorders,CTCAE v6.0,,"<LLN - 75,000/mm3; <LLN - 75.0 × 10^9/L","<75,000 - 50,000/mm3; <75.0 - 50.0 × 10^9/L","<50,000 - 10,000/mm3; <50.0 - 10.0 × 10^9/L; transfusion indicated","<10,000/mm3; <10.0 × 10^9/L; life-threatening consequences; urgent intervention indicated",Death,A disorder characterized by a decrease in number of platelets in a blood specimen.,-,8
Thrombocytosis,Blood and lymphatic system disorders,CTCAE v6.0,,Present,-,-,-,-,A finding based on laboratory test results that indicate an increase in number of platelets in a blood specimen.,-,9
