site,edition,classification,category_type,category,short_definition,detail_note,verification_status,source_pdf_page,source_section,definition_origin
Adrenal,AJCC7,any,T,T0,No evidence of primary tumor,,auto_extracted_v1_5_review,532,Primary Tumor (T),manual_extraction_v1_5
Adrenal,AJCC7,any,T,T1,"Tumor 5 cm or less in greatest dimension, no extra-adrenal invasion (Figure 47.1)",,auto_extracted_v1_5_review,532,Primary Tumor (T),manual_extraction_v1_5
Adrenal,AJCC7,any,T,T2,"Tumor greater than 5 cm, no extra-adrenal inva- sion (Figure 47.2)",,auto_extracted_v1_5_review,532,Primary Tumor (T),manual_extraction_v1_5
Adrenal,AJCC7,any,T,T3,"Tumor of any size with local invasion, but not invading adjacent organs* (Figure 47.3)",,auto_extracted_v1_5_review,532,Primary Tumor (T),manual_extraction_v1_5
Adrenal,AJCC7,any,T,T4,"Tumor of any size with invasion of adjacent organs* (Figure 47.4) * Note : Adjacent organs include kidney, diaphragm, great ves- sels, pancreas, spleen, and liver.",,auto_extracted_v1_5_review,532,Primary Tumor (T),manual_extraction_v1_5
Adrenal,AJCC7,any,T,TX,Primary tumor cannot be assessed,,auto_extracted_v1_5_review,532,Primary Tumor (T),manual_extraction_v1_5
Adrenal,AJCC7,any,N,N0,No regional lymph node metastasis,,auto_extracted_v1_5_review,532,Regional Lymph Nodes (N),manual_extraction_v1_5
Adrenal,AJCC7,any,N,N1,Metastasis in regional lymph node(s),,auto_extracted_v1_5_review,532,Regional Lymph Nodes (N),manual_extraction_v1_5
Adrenal,AJCC7,any,N,NX,Regional lymph nodes cannot be assessed,,auto_extracted_v1_5_review,532,Regional Lymph Nodes (N),manual_extraction_v1_5
Adrenal,AJCC7,any,M,M0,No distance metastasis,,auto_extracted_v1_5_review,532,Distant Metastasis (M),manual_extraction_v1_5
Adrenal,AJCC7,any,M,M1,Stage unknown Stage unknown PROGNOSTIC FACTORS (SITE-SPECIFIC FACTORS) REQUIRED FOR STAGING: None CLINICALLY SIGNIFICANT: Tumor weight in grams: __________ Vascular invasion: ______________,,auto_extracted_v1_5_review,535,DISTANT METASTASIS (M),manual_extraction_v1_5
Adrenal Cortical Carcinoma,AJCC7,any,T,T0,No evidence of primary tumor,,auto_extracted_v1_5_review,532,Primary Tumor (T),manual_extraction_v1_5
Adrenal Cortical Carcinoma,AJCC7,any,T,T1,"Tumor 5 cm or less in greatest dimension, no extra-adrenal invasion (Figure 47.1)",,auto_extracted_v1_5_review,532,Primary Tumor (T),manual_extraction_v1_5
Adrenal Cortical Carcinoma,AJCC7,any,T,T2,"Tumor greater than 5 cm, no extra-adrenal inva- sion (Figure 47.2)",,auto_extracted_v1_5_review,532,Primary Tumor (T),manual_extraction_v1_5
Adrenal Cortical Carcinoma,AJCC7,any,T,T3,"Tumor of any size with local invasion, but not invading adjacent organs* (Figure 47.3)",,auto_extracted_v1_5_review,532,Primary Tumor (T),manual_extraction_v1_5
Adrenal Cortical Carcinoma,AJCC7,any,T,T4,"Tumor of any size with invasion of adjacent organs* (Figure 47.4) * Note : Adjacent organs include kidney, diaphragm, great ves- sels, pancreas, spleen, and liver.",,auto_extracted_v1_5_review,532,Primary Tumor (T),manual_extraction_v1_5
Adrenal Cortical Carcinoma,AJCC7,any,T,TX,Primary tumor cannot be assessed,,auto_extracted_v1_5_review,532,Primary Tumor (T),manual_extraction_v1_5
Adrenal Cortical Carcinoma,AJCC7,any,N,N0,No regional lymph node metastasis,,auto_extracted_v1_5_review,532,Regional Lymph Nodes (N),manual_extraction_v1_5
Adrenal Cortical Carcinoma,AJCC7,any,N,N1,Metastasis in regional lymph node(s),,auto_extracted_v1_5_review,532,Regional Lymph Nodes (N),manual_extraction_v1_5
Adrenal Cortical Carcinoma,AJCC7,any,N,NX,Regional lymph nodes cannot be assessed,,auto_extracted_v1_5_review,532,Regional Lymph Nodes (N),manual_extraction_v1_5
Adrenal Cortical Carcinoma,AJCC7,any,M,M0,No distance metastasis,,auto_extracted_v1_5_review,532,Distant Metastasis (M),manual_extraction_v1_5
Adrenal Cortical Carcinoma,AJCC7,any,M,M1,Stage unknown Stage unknown PROGNOSTIC FACTORS (SITE-SPECIFIC FACTORS) REQUIRED FOR STAGING: None CLINICALLY SIGNIFICANT: Tumor weight in grams: __________ Vascular invasion: ______________,,auto_extracted_v1_5_review,535,DISTANT METASTASIS (M),manual_extraction_v1_5
Adrenal Cortical Carcinoma,AJCC8,any,T,T0,No evidence of primary tumor,AJCC8 explicit definition was not present/extracted from the uploaded AJCC8 update/correction PDF; AJCC7 wording carried forward for display only and cancer committee review.,fallback_from_AJCC7_for_AJCC8_review_required,532,Primary Tumor (T),fallback_AJCC7_to_AJCC8_v1_5_review
